r_nm,H2O_B1-H2O_B1_target,H2O_B1-H2O_B1_current
10.05,1.0026763271589965,1.0000812975150724
10.150000000000002,1.0007777091683934,1.0002723605383363
10.25,1.0014788755151125,1.0007437241875963
10.35,1.0003262903029255,0.9995096725645861
10.45,1.0007358093481526,1.000279343444331
10.55,1.000582287959209,1.0009946528994418
10.650000000000002,0.999865373196594,0.9998756790024848
10.75,0.9996545517464132,0.9998961134255389
10.85,0.9997823294217492,0.9994825150431914
10.95,1.0003157569702017,0.9999854406765394
11.05,0.9996006018499496,0.9998065993820425
11.150000000000002,1.0002018185705126,1.0002953235597738
11.25,0.9998847944812556,1.0007054817446095
11.35,0.9997453069026924,1.0005839512731691
11.45,0.9996229094331728,1.0007047553955222
11.55,0.9998731372963204,0.9998317336477267
11.650000000000002,1.0001331639448583,0.9996400719057843
11.75,1.0005769617676523,1.0007015300018312
11.85,1.0007355109865683,1.0007823399028037
11.95,0.9995961696073314,0.999541314454937
12.05,1.0002852765899184,1.0004891781478802
12.150000000000002,1.0004423844967782,0.9997536505786206
12.25,1.000129831411508,1.0000301753488285
12.35,1.000413392528563,1.0005918936564346
12.45,1.0009531151186857,1.0005023047664312
12.55,1.0007211189827805,1.0001510469320063
12.650000000000002,1.0001157776762275,1.0001857470518138
12.75,1.0006216846493603,1.0003228201851955
12.85,1.0005740632033602,1.0002997374231313
12.95,1.0003421093576943,1.000189312540929
13.05,1.000089657616244,0.9993824443393341
13.150000000000002,1.0010476734370148,1.0001398935627295
13.25,1.0007856593191344,1.0006034823420362
13.35,1.0008195060166734,1.0001512047361036
13.45,1.00101581674324,0.9997862879138252
13.55,1.000952954535916,0.9998009191325592
13.650000000000002,1.0005206428832047,1.0002359881028309
13.75,1.0003912928213885,1.000509851593304
13.85,1.000420474575597,1.0007266750568495
13.95,0.99991140777475,0.9999625826923881
14.05,1.0002740083192094,1.0003484674491914
14.150000000000002,1.00050843444172,1.000140647746162
14.25,1.000085820349407,0.9999464969298231
14.35,1.000386933535303,0.9998621982328831
14.45,1.000905612132397,1.000008961810663
14.55,1.0004994774099722,0.9998123272823803
14.650000000000002,1.0005420134376144,1.0004267299709533
14.75,1.0002597828739066,1.0002076905071893
14.85,1.0008503217458633,0.9996704044630673
14.95,1.000386022211166,1.0002075456039867
15.05,0.9998051644261085,1.0007368247316168
15.150000000000002,1.0012052659347197,1.0001099063024992
15.25,1.0003169803871153,1.000336045507102
15.35,1.000990155121554,1.0003053432785365
15.45,1.0004434408505307,1.0004352756505308
15.55,1.0000082027358328,1.000072440130384
15.650000000000002,1.0004340489147283,1.0002454130662957
15.75,1.0006480893041108,1.0001079390267302
15.85,1.0004592192817796,1.0001632549323782
15.95,1.000456012528229,1.0002630785570497
16.05,1.0002943112670724,1.0005578299493567
16.15,1.0002129320662134,0.9998792819149729
16.25,1.0008281440063436,1.0007727808064126
16.35,1.0002253969446808,1.0006873716590112
16.450000000000003,1.0004261925068263,1.0006047038546382
16.55,1.0007956315470696,1.0002535720271097
16.65,1.000032037369872,1.000674170768437
16.75,1.00034959073412,1.00044061005522
16.85,0.9999523215462454,1.0002301686386925
16.950000000000003,1.0005213856831512,1.0005142729058125
17.05,1.0005371661233236,0.9998904305411085
17.15,1.00026501700244,0.9997569033452905
17.25,1.0011177158118785,0.9998933484710777
17.35,1.0002249546892987,1.0011694360682173
17.450000000000003,1.0007366672926952,1.0003508415591025
17.55,1.0006561025017746,1.0000576023123426
17.65,1.0007193832938892,0.9996473619444219
17.75,1.0001543118139864,1.0002973540397702
17.85,1.0009942171771056,0.9998968987191763
17.950000000000003,1.0008531068683753,1.0001109687230578
18.05,1.0004703248936786,1.0000784362275625
18.15,1.000068738730089,0.9998270574275561
18.25,1.0004048895972886,1.000182511501321
18.35,1.0002728565709404,0.9999880342976729
18.450000000000003,0.9998749279115524,1.000419432285551
18.55,1.000258278854175,1.0003709778493184
18.65,1.0006520807914658,1.0003047236644282
18.75,1.0003565193856905,1.0002893313549406
18.85,1.0005213205930314,1.000320047067083
18.950000000000003,1.0005847560791288,0.999599727194499
19.05,1.0006954180369692,1.0001980934303398
19.15,1.000311924424902,0.9996721582094614
19.25,1.001046031338928,1.0001603664815721
19.35,1.000613337179174,1.0008018312271947
