r,H2O_B1-H2O_B1,H2O_B1-C12_B1,H2O_B1-C12_B2,H2O_B1-C12_B3,H2O_B1-C12_B4,H2O_B1-C4H_B1,H2O_B1-C4H_B2,C12_B1-C12_B1,C12_B1-C12_B2,C12_B1-C12_B3,C12_B1-C12_B4,C12_B1-C4H_B1,C12_B1-C4H_B2,C12_B2-C12_B2,C12_B2-C12_B3,C12_B2-C12_B4,C12_B2-C4H_B1,C12_B2-C4H_B2,C12_B3-C12_B3,C12_B3-C12_B4,C12_B3-C4H_B1,C12_B3-C4H_B2,C12_B4-C12_B4,C12_B4-C4H_B1,C12_B4-C4H_B2,C4H_B1-C4H_B1,C4H_B1-C4H_B2,C4H_B2-C4H_B2
4.550000000000001,5.200283096867047,0.4184583469241618,0.5185207033996037,0.32871437902807654,0.3445821530618771,1.8789872312156188,1.9674305618958186,1.3421525047963998,1.2937004840672386,1.0897605686164247,1.0665225170259407,0.932990429528383,0.9815475522547672,1.3211321053477483,1.0446718117990679,1.0196995772540702,0.9850159181637946,0.9850159181637946,1.0765947917617689,1.0691237914577112,0.8029267079398538,0.8480154647572105,1.1056730109990702,0.707546645441599,0.7283568408957636,1.3488089646217973,1.21392806815959,1.271734166643409
4.65,5.142481946488706,0.4204961255118387,0.5119011075826253,0.31381546977981245,0.3388044794104272,1.9235726017984838,1.9102894073104493,1.5201878136305547,1.4732723086541142,1.2562581187058524,1.2280313304187793,0.9779751941815338,0.963031600382495,1.5164980373838786,1.2114273373087363,1.1994724622695054,1.1556379204589942,1.0709575555977746,1.2572073975038216,1.204287620271418,0.9265028155404004,0.8301996555021509,1.2759917129414453,0.7720856796170004,0.8019728672150778,1.8079903608713104,1.328319448803441,1.0700351115360816
4.75,5.1174315226648694,0.4118093475446101,0.5162733493464017,0.31689270310474926,0.34458003945434823,1.894354823229707,1.9930108493029886,1.6764130856049968,1.6521701914821048,1.3974148725412543,1.4036206548265093,1.0820338343521216,1.0979460966220058,1.716274106240667,1.3523831703174813,1.3531787834309754,1.1695512768364844,1.1090846802109247,1.4221383491306818,1.3665450837376785,0.9515532837390717,0.8417586740768711,1.3854919269333723,0.8353937691689174,0.7940218872672187,1.1668992331248595,1.5594017024486595,1.4851444785225483
4.8500000000000005,5.076554679052388,0.39492687020163775,0.4906250915026723,0.3069364003770023,0.32723602307722177,1.9193064319944062,1.9467796055736502,1.8182862468776686,1.7729354683139031,1.48828286428451,1.4632517505789764,1.233240236223841,1.1843990387496297,1.8213696558091215,1.4212788464995751,1.4470731039156435,1.1996619129603208,1.2393453859081176,1.4840447187081938,1.4485993913367126,0.8455632312722872,0.9661399375367469,1.476336196379562,0.9310353268521573,0.8272477822194578,1.1871124386093173,1.3736586789622343,1.4245349263311806
4.95,5.032119918161877,0.39422395992611947,0.4743728192755294,0.30337881770192543,0.3332697999821441,2.016908681800043,1.9634272674261224,1.9394505436719245,1.8286247983192607,1.5493492481913351,1.5679578499050009,1.2264094200266153,1.295275898809472,1.8897210425521316,1.534403757051226,1.5124250936098886,1.2982063872683167,1.24106186232084,1.5623351601801614,1.4986517978533171,0.9450825279774993,0.8996599568654023,1.580687714164847,0.9172428876184722,0.9113819107007822,1.758293075307014,1.7289881907185622,2.018780938315461
5.050000000000001,5.048876826140559,0.3722199884172285,0.4599253790314241,0.2981701722646331,0.3262556063377182,2.1046478165043063,2.0856426355525954,1.978017710724295,1.9084017257881805,1.60558584262424,1.580949496946095,1.227593910362378,1.209292625001471,1.8824585517302819,1.5530752315502514,1.554905360086342,1.2951678870795733,1.3176925459853048,1.6119920035061546,1.5544830227318596,1.0037551124866693,0.9685603329464635,1.588386616016562,0.929142179861433,0.9404045093142989,1.5329281755289934,1.47818074068864,1.4390754300884427
5.15,4.999261945195757,0.3560105211659645,0.4423735297225749,0.2932687430061073,0.3241996951302224,2.05822812712102,2.025740474999412,1.9560957544264417,1.9112215012708185,1.5990693104690261,1.6097631626257223,1.238591737136293,1.2521282588536293,1.9755117754755507,1.5621146061806959,1.593925432216438,1.355005823905387,1.2291161719341572,1.6169990487800292,1.5660401974787237,1.0301293026893101,1.0517877374370486,1.5497266378211443,0.9989953027394362,0.9827514766786324,1.564220287336711,1.394261736885685,1.5943014467085708
5.25,4.95300046427224,0.3430988173962525,0.4377310462642773,0.30213276649605453,0.3197175578204638,1.899808751603779,1.970799205468987,1.9851801833347444,1.9168725120741272,1.5712987981211062,1.6026909070780146,1.3195106378982708,1.337746717790251,1.917288284169797,1.5606176656129465,1.5673910667156818,1.3286286778442609,1.3064848665468565,1.5880915172885979,1.523754732688444,1.096769947789086,1.0355488224374385,1.5701975283614025,1.025128205356307,1.0394565538428628,1.389415610817543,1.5109894767640992,1.563092562169736
5.3500000000000005,4.9260230834954655,0.3416192690703978,0.42139523937653806,0.2909439671778181,0.32054637125368146,1.7962136710439247,1.766736700883637,1.9881909123371828,1.8517808956439443,1.5590181366902787,1.5577637975345218,1.268136886470257,1.3872991062671653,1.8331089803526868,1.554000780067251,1.5469764807950122,1.3622123231520267,1.376010053865353,1.5115420331495406,1.4924127275195862,1.102564117910342,1.1138531703121544,1.467956915010107,1.0624252649261203,1.1226335444024529,1.5609553938308474,1.7059012518294472,1.3937101730632566
5.45,4.901863574920914,0.33657140910374117,0.40534825657367424,0.2984359163502018,0.3224896819855563,1.7466176554315604,1.7073338673336187,1.9056452669235793,1.7912198640719483,1.5098270680965455,1.539803620245128,1.385206804930497,1.4359735464724523,1.8206677486138143,1.4968936363227618,1.5112775464263155,1.3694932896913203,1.3731194855157458,1.4736762155156076,1.448302612275463,1.0769801598543394,1.103572262566792,1.4077453823442383,1.092693675093516,1.035883273844185,1.450478329770148,1.3779544132816344,2.0145532357918725
